LECROYWR640Zi,60927,Waveform
Segments,10,SegmentSize,200002
Segment,TrigTime,TimeSinceSegment1
#1,09-Aug-2019 16:29:48,0                 
#2,09-Aug-2019 16:29:48,5.701447e-006     
#3,09-Aug-2019 16:29:48,1.129295e-005     
#4,09-Aug-2019 16:29:48,1.703487e-005     
#5,09-Aug-2019 16:29:48,2.266119e-005     
#6,09-Aug-2019 16:29:48,2.866887e-005     
#7,09-Aug-2019 16:29:48,3.442581e-005     
#8,09-Aug-2019 16:29:48,4.167359e-005     
#9,09-Aug-2019 16:29:48,4.747351e-005     
#10,09-Aug-2019 16:29:48,5.318782e-005    
Time,Ampl
-2.56000707e-006,0.000249544
-2.55998207e-006,0.000240186
-2.55995707e-006,0.000231641
-2.55993207e-006,0.000222282
-2.55990707e-006,0.000210075
-2.55988207e-006,0.000190544
-2.55985707e-006,0.000161654
-2.55983207e-006,0.000121777
-2.55980707e-006,7.13216e-005
-2.55978207e-006,1.47624e-005
-2.55975707e-006,-4.22038e-005
-2.55973207e-006,-9.14388e-005
-2.55970707e-006,-0.000125212
-2.55968207e-006,-0.000137419
-2.55965707e-006,-0.000126025
-2.55963207e-006,-9.38802e-005
-2.55960707e-006,-4.66797e-005
-2.55958207e-006,7.03125e-006
-2.55955707e-006,5.83008e-005
-2.55953207e-006,9.81771e-005
-2.55950707e-006,0.000120964
-2.55948207e-006,0.000123812
-2.55945707e-006,0.000107536
-2.55943207e-006,7.62044e-005
-2.55940707e-006,3.63281e-005
-2.55938207e-006,-5.98958e-006
-2.55935707e-006,-4.42383e-005
-2.55933207e-006,-7.31283e-005
-2.55930707e-006,-9.0625e-005
-2.55928207e-006,-9.63216e-005
-2.55925707e-006,-9.26595e-005
-2.55923207e-006,-8.08594e-005
-2.55920707e-006,-6.29557e-005
-2.55918207e-006,-3.85417e-005
-2.55915707e-006,-7.61719e-006
-2.55913207e-006,3.18522e-005
-2.55910707e-006,7.86458e-005
-2.55908207e-006,0.000130322
-2.55905707e-006,0.000181999
-2.55903207e-006,0.000227979
-2.55900707e-006,0.000263786
-2.55898207e-006,0.000285352
-2.55895707e-006,0.000291455
-2.55893207e-006,0.000280469
-2.55890707e-006,0.00025402
-2.55888207e-006,0.000213737
-2.55885707e-006,0.000164502
